line,match
3. В Санкт-Петербурге существует традиция устраивать весенние прогулки по легендарному Михайловскому саду.,"Match(start=87, stop=105, fact=Addr(parts=[AddrPart(value='Михайловскому', type='сад')]))"
4. Летний сад с его красивыми павильонами и розарием является визитной карточкой Северной столицы.,"Match(start=3, stop=15, fact=Addr(parts=[AddrPart(value='Летний сад', type='сад')]))"
8. Сады Царского села считаются одними из самых роскошных и романтичных мест в городе.,"Match(start=3, stop=21, fact=Addr(parts=[AddrPart(value='Царского села', type='сад')]))"
15. Летом Михайловский сад превращается в место для отдыха и культурных мероприятий под открытым небом.,"Match(start=4, stop=26, fact=Addr(parts=[AddrPart(value='Летом Михайловский', type='сад')]))"
7. В Санкт-Петербурге существует традиция устраивать летние концерты и пикники в Петергофском парке.,"Match(start=81, stop=99, fact=Addr(parts=[AddrPart(value='Петергофском', type='парк')]))"
"16. Великолепные виды на залив открываются из Японского сада, который стал излюбленным местом для прогулок.","Match(start=46, stop=60, fact=Addr(parts=[AddrPart(value='Японского', type='сад')]))"
2. Великолепные фонтаны и зеленые аллеи садов Петербурга привлекают туристов со всего мира.,"Match(start=40, stop=56, fact=Addr(parts=[AddrPart(value='Петербурга', type='сад')]))"
17. Весенние фестивали в Павловском парке привлекают любителей природы и искусства из разных уголков страны.,"Match(start=25, stop=41, fact=Addr(parts=[AddrPart(value='Павловском', type='парк')]))"
"1. Сады Санкт-Петербурга, включая Ямской сад и Александрийский парк, служат уединенными оазисами в суете городской жизни.","Match(start=3, stop=67, fact=Addr(parts=[AddrPart(value='Санкт-Петербурга', type='сад'), AddrPart(value='Ямской', type='сад'), AddrPart(value='Александрийский', type='парк')]))"
10. Сады и парки Петербурга стали популярными местами для проведения свадеб и фотосессий.,"Match(start=11, stop=27, fact=Addr(parts=[AddrPart(value='Петербурга', type='парк')]))"
18. Сады и парки Петербурга восхищают своей архитектурой и ландшафтным дизайном.,"Match(start=11, stop=27, fact=Addr(parts=[AddrPart(value='Петербурга', type='парк')]))"
6. Сады Эрмитажа предоставляют возможность насладиться искусством и природой одновременно.,"Match(start=3, stop=16, fact=Addr(parts=[AddrPart(value='Эрмитажа', type='сад')]))"
12. Сады и парки Васильевского острова стали любимыми местами для активного отдыха среди местных жителей.,"Match(start=11, stop=38, fact=Addr(parts=[AddrPart(value='Васильевского острова', type='парк')]))"
